Trade Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date,
"Jan 12, 2011", YOU SOLD             CLOSING TRANSACTION, -1323579SO, CALL (POT) POTASH CORP OF JUN 18 11 $160 (100 SHS),Margin,-4.000,18.65,9.86,0.19,,7449.95,"Jan 13, 2011",
"Jan 11, 2011", YOU SOLD             CLOSING TRANSACTION, -1323579SO, CALL (POT) POTASH CORP OF JUN 18 11 $160 (100 SHS),Margin,-1.000,18.25,7.95,0.05,,1817.00,"Jan 12, 2011",
"Jan 5, 2011", YOU SOLD             OPENING TRANSACTION, -1347659AU, CALL (IMAX) IMAX CORP COM STK FEB 19 11 $33 (100 SHS),Margin,-2.000,0.90,8.10,0.04,,171.86,"Jan 6, 2011",
"Jan 3, 2011", YOU SOLD             OPENING TRANSACTION, -1342409HF, CALL (JDSU) JDS UNIPHASE CORP FEB 19 11 $17 (100 SHS),Margin,-5.000,0.28,7.95,0.08,,131.97,"Jan 4, 2011",
"Dec 31, 2010", INTEREST EARNED,315994103, CASH,Cash,,,,,,1.98, ,
"Dec 31, 2010", REINVESTMENT,315994103, CASH,Cash,1.980,1.00,,,,-1.98, ,
"Dec 27, 2010", Electronic Funds Transfer Received, ,  ,Cash,,,,,,15000.00, ,
"Dec 27, 2010", YOU BOUGHT           OPENING TRANSACTION, -AAPL110716C350, CALL (AAPL) APPLE INC JUL 16 11 $350 (100 SHS),Margin,3.000,19.90,9.18,0.04,,-5979.22,"Dec 28, 2010",
"Dec 27, 2010", YOU SOLD, C, CITIGROUP INC,Margin,-500.000,4.73,7.95,0.04,,2357.01,"Dec 30, 2010",
"Dec 23, 2010", YOU SOLD             OPENING TRANSACTION, -1343729MI, CALL (SIGM) SIGMA DESIGNS FEB 19 11 $15 (100 SHS),Margin,-5.000,0.35,7.95,0.08,,166.97,"Dec 27, 2010",
"Dec 23, 2010", YOU SOLD             OPENING TRANSACTION, -1345809RN, CALL (CREE) CREE INC FEB 19 11 $80 (100 SHS),Margin,-1.000,1.18,7.95,,,110.03,"Dec 27, 2010",
"Dec 21, 2010", YOU SOLD             CLOSING TRANSACTION, -SDS110319C35, CALL (SDS) PROSHARES TR MAR 19 11 $35 (100 SHS),Margin,-7.000,0.21,7.95,0.10,,138.95,"Dec 22, 2010",
"Dec 17, 2010", YOU BOUGHT           OPENING TRANSACTION, -1323579SO, CALL (POT) POTASH CORP OF JUN 18 11 $160 (100 SHS),Margin,5.000,5.15,10.53,0.07,,-2585.60,"Dec 20, 2010",
"Dec 17, 2010", DIVIDEND RECEIVED, GLW, CORNING INC,Margin,,,,,,15.00, ,
"Dec 16, 2010", YOU BOUGHT, IMAX, IMAX CORP COM STK NPV ISIN #CA45245E109,Margin,200.000,25.75,7.95,,,-5157.95,"Dec 21, 2010",
"Dec 13, 2010", YOU BOUGHT           CLOSING TRANSACTION, -1262829QQ, CALL (JDSU) JDS UNIPHASE CORP JAN 22 11 $12.5 (100 SHS),Margin,5.000,1.90,10.53,0.07,,-960.60,"Dec 14, 2010",
"Dec 10, 2010", DIVIDEND RECEIVED, XOM, EXXON MOBIL CORP,Margin,,,,,,44.00, ,
